"","latitud","longitud"
"1247",2.876124185,-21.685109685
"1248",2.879582398,-21.688918198
"1249",2.883040611,-21.692726711
"1250",2.886498824,-21.696535224
"1251",2.889957037,-21.700343737
"1252",2.89341525,-21.70415225
"1253",2.896873463,-21.707960763
"1254",2.900331676,-21.711769276
"1255",2.903789889,-21.715577789
"1256",2.907248102,-21.719386302
"1257",2.910706315,-21.723194815
"1258",2.914164528,-21.727003328
"1259",2.917622741,-21.730811841
"1260",2.921080954,-21.734620354
"1261",2.924539167,-21.738428867
"1262",2.92799738,-21.74223738
"1263",2.931455593,-21.746045893
"1264",2.934913806,-21.749854406
"1265",2.938372019,-21.753662919
"1266",2.941830232,-21.757471432
"1267",2.945288445,-21.761279945
"1268",2.948746658,-21.765088458
"1269",2.952204871,-21.768896971
"1270",2.955663084,-21.772705484
"1271",2.959121297,-21.776513997
"1272",2.96257951,-21.78032251
"1273",2.966037723,-21.784131023
"1274",2.969495936,-21.787939536
"1275",2.972954149,-21.791748049
"1276",2.976412362,-21.795556562
"1277",2.979870575,-21.799365075
"1278",2.983328788,-21.803173588
"1279",2.986787001,-21.806982101
"1280",2.990245214,-21.810790614
"1281",2.993703427,-21.814599127
"1282",2.99716164,-21.81840764
"1283",3.000619853,-21.822216153
"1284",3.004078066,-21.826024666
"1285",3.007536279,-21.829833179
"1286",3.010994492,-21.833641692
"1287",3.014452705,-21.837450205
"1288",3.017910918,-21.841258718
"1289",3.021369131,-21.845067231
"1290",3.024827344,-21.848875744
"1291",3.028285557,-21.852684257
"1292",3.03174377,-21.85649277
"1293",3.035201983,-21.860301283
"1294",3.038660196,-21.864109796
"1295",3.042118409,-21.867918309
"1296",3.045576622,-21.871726822
"1297",3.049034835,-21.875535335
"1298",3.052493048,-21.879343848
"1299",3.055951261,-21.883152361
"1300",3.059409474,-21.886960874
"1301",3.062867687,-21.890769387
"1302",3.0663259,-21.8945779
"1303",3.069784113,-21.898386413
"1304",3.073242326,-21.902194926
"1305",3.076700539,-21.906003439
"1306",3.080158752,-21.909811952
"1307",3.083616965,-21.913620465
"1308",3.087075178,-21.917428978
"1309",3.090533391,-21.921237491
"1310",3.093991604,-21.925046004
"1311",3.097449817,-21.928854517
"1312",3.10090803,-21.93266303
"1313",3.104366243,-21.936471543
"1314",3.107824456,-21.940280056
"1315",3.111282669,-21.944088569
"1316",3.114740882,-21.947897082
"1317",3.118199095,-21.951705595
"1318",3.121657308,-21.955514108
"1319",3.125115521,-21.959322621
"1320",3.128573734,-21.963131134
"1321",3.132031947,-21.966939647
"1322",3.13549016,-21.97074816
"1323",3.138948373,-21.974556673
"1324",3.142406586,-21.978365186
"1325",3.145864799,-21.982173699
"1326",3.149323012,-21.985982212
"1327",3.152781225,-21.989790725
"1328",3.156239438,-21.993599238
"1329",3.159697651,-21.997407751
"1330",3.163155864,-22.001216264
"1331",3.166614077,-22.005024777
"1332",3.17007229,-22.00883329
"1333",3.173530503,-22.012641803
"1334",3.176988716,-22.016450316
"1335",3.180446929,-22.020258829
"1336",3.183905142,-22.024067342
"1337",3.187363355,-22.027875855
"1338",3.190821568,-22.031684368
"1339",3.194279781,-22.035492881
"1340",3.197737994,-22.039301394
"1341",3.201196207,-22.043109907
"1342",3.20465442,-22.04691842
"1343",3.208112633,-22.050726933
"1344",3.211570846,-22.054535446
"1345",3.215029059,-22.058343959
"1346",3.218487272,-22.062152472
"1347",3.221945485,-22.065960985
"1348",3.225403698,-22.069769498
"1349",3.228861911,-22.073578011
"1350",3.232320124,-22.077386524
"1351",3.235778337,-22.081195037
"1352",3.23923655,-22.08500355
"1353",3.242694763,-22.088812063
"1354",3.246152976,-22.092620576
"1355",3.249611189,-22.096429089
"1356",3.253069402,-22.100237602
"1357",3.256527615,-22.104046115
"1358",3.259985828,-22.107854628
"1359",3.263444041,-22.111663141
"1360",3.266902254,-22.115471654
"1361",3.270360467,-22.119280167
"1362",3.27381868,-22.12308868
"1363",3.277276893,-22.126897193
"1364",3.280735106,-22.130705706
